event_name,type,playerAName,associationPlayer_A,playerBName,associationPlayer_B,playerXName,associationPlayer_X,playerYName,associationPlayer_Y,stage,matchDateTime,setsWon_A,setsWon_X,pointTotal_A,pointTotal_X,set1_AB,set1_XY,set2_AB,set2_XY,set3_AB,set3_XY
Los Angeles Challenger Cup 2020,DoublesFree,Arpad Sipos,Hungary,Balazs Imreh,Hungary,Dmytro Stasyshen,Ukraine,Michael Ruecktenwald,United States,1.0,2020-02-23T14:00:00,2,0,24,9,12,3,12,6,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Abraham Romero,United States,Jorge  Hernandez,United States,Andres Berriel,Uruguay,Nancy Avesyan,United States,1.0,2020-02-23T13:00:00,2,0,24,11,12,5,12,6,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Joao Barreto,Brazil,Thiago Lusardi,Brazil,Cassiano  Machado,Brazil,Eriel Almada,Brazil,1.0,2020-02-23T13:00:00,2,0,24,14,12,5,12,9,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Brian Esler,United States,Carolyn Greco,United States,Dmytro Stasyshen,Ukraine,Michael Ruecktenwald,United States,1.0,2020-02-23T13:00:00,0,2,15,24,10,12,5,12,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Arpad Sipos,Hungary,Balazs Imreh,Hungary,Juliane  Braga,Brazil,Oscar Reyes,United States,1.0,2020-02-23T13:00:00,2,1,35,23,12,5,11,12,12,6
Los Angeles Challenger Cup 2020,DoublesFree,Joao Argolo,United States,Jose  Vidal,Argentina,Gerardo Torres,United States,Ryutaro  Ichihara,Japan,0.0,2020-02-23T12:00:00,0,2,0,24,0,12,0,12,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Daniel Gaspar,Brazil,Leah Morales,United States,Joao Barreto,Brazil,Thiago Lusardi,Brazil,0.0,2020-02-23T12:00:00,0,2,18,24,7,12,11,12,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Davin  Randall,United States,Kyle  Rilley,United States,Jessica  Garcia,United States,Polly Marino,United States,0.0,2020-02-23T12:00:00,2,0,24,19,12,10,12,9,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Abraham Romero,United States,Jorge  Hernandez,United States,Fabiola Zanella Da Silva,Brazil,Talita Pereira,Brazil,0.0,2020-02-23T12:00:00,2,0,24,14,12,6,12,8,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Joao Barreto,Brazil,Thiago Lusardi,Brazil,Gerardo Torres,United States,Ryutaro  Ichihara,Japan,0.0,2020-02-23T12:00:00,2,0,24,12,12,6,12,6,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Brian Esler,United States,Carolyn Greco,United States,Joao Argolo,United States,Jose  Vidal,Argentina,0.0,2020-02-23T12:00:00,2,0,24,0,12,0,12,0,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Fabiola Zanella Da Silva,Brazil,Talita Pereira,Brazil,Jessica  Garcia,United States,Polly Marino,United States,0.0,2020-02-23T12:00:00,2,0,24,9,12,4,12,5,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Arpad Sipos,Hungary,Balazs Imreh,Hungary,Davin  Randall,United States,Kyle  Rilley,United States,0.0,2020-02-23T12:00:00,2,0,24,12,12,6,12,6,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Daniel Gaspar,Brazil,Leah Morales,United States,Gerardo Torres,United States,Ryutaro  Ichihara,Japan,0.0,2020-02-23T11:00:00,2,1,34,31,12,8,9,12,13,11
Los Angeles Challenger Cup 2020,DoublesFree,Brian Esler,United States,Carolyn Greco,United States,Joao Barreto,Brazil,Thiago Lusardi,Brazil,0.0,2020-02-23T11:00:00,0,2,20,24,11,12,9,12,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Jay  Vasquez,United States,Zaven  Ruvalcaba,United States,Cassiano  Machado,Brazil,Eriel Almada,Brazil,0.0,2020-02-23T11:00:00,0,1,6,12,6,12,0,0,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Goerge Escobar,United States,Martin Gonzalez,United States,Dmytro Stasyshen,Ukraine,Michael Ruecktenwald,United States,0.0,2020-02-23T11:00:00,1,2,22,35,5,12,12,11,5,12
Los Angeles Challenger Cup 2020,DoublesFree,Juliane  Braga,Brazil,Oscar Reyes,United States,Lincoln Maitlen,United States,Tanner  Gill,United States,0.0,2020-02-23T11:00:00,2,0,24,3,12,3,12,0,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Andres Berriel,Uruguay,Nancy Avesyan,United States,Andre  Balatka,United States,Mikayla  Abrenica,United States,0.0,2020-02-23T11:00:00,2,0,24,9,12,6,12,3,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Joao Barreto,Brazil,Thiago Lusardi,Brazil,Abraham Romero,United States,Jorge  Hernandez,United States,1.0,2020-02-23T14:00:00,2,0,24,18,12,11,12,7,0,0
Los Angeles Challenger Cup 2020,DoublesFree,Dmytro Stasyshen,Ukraine,Michael Ruecktenwald,United States,Abraham Romero,United States,Jorge  Hernandez,United States,1.0,2020-02-23T15:00:00,0,2,11,24,4,12,7,12,0,0
