,Team A,Matches Played,Winning Percentage,Set Winning Percentage,Matches Won,Matches Lost,Sets Won,Sets Lost,Total Points For,Total Points Against,Set 1 Points For,Set 1 Points Against,Set 2 Points For,Set 2 Points Against,Set 3 Points For,Set 3 Points Against,Number of Final Sets,Set 1 Points For per match average,Set 1 Points Against per match average,Set 2 Points For per match average,Set 2 Points Against per match average,Set 3 Points For per match average,Set 3 Points Against per match average,TEQ Score
0,Hugo Rabeux & Julien Grondin,90,82.22,79.5,74,16,159,41,2232,1318,1018,557,1020,557,194,204,20,11.31,6.19,6.19,6.19,9.7,10.2,126.4
1,Apor Gyorgydeak & Szabolcs Ilyes,87,79.31,77.01,69,18,144,43,2049,1227,943,554,975,540,131,133,13,10.84,6.37,6.21,6.21,10.08,10.23,110.89
2,Adam Blazsovics & Csaba Banyik,75,90.67,86.5,68,7,141,22,1864,971,862,422,869,439,133,110,13,11.49,5.63,5.85,5.85,10.23,8.46,121.97
3,Dennis Correia & Luka Pilic,61,88.52,86.51,54,7,109,17,1419,820,686,357,689,429,44,34,4,11.25,5.85,7.03,7.03,11.0,8.5,94.29
4,Csaba Banyik & Zsanett Janicsek,58,96.55,91.87,56,2,113,10,1452,835,690,370,682,411,80,54,7,11.9,6.38,7.09,7.09,11.43,7.71,103.81
5,Bogdan Marojevic & Nikola  Mitro,47,95.74,89.32,45,2,92,11,1202,584,555,236,544,277,103,71,9,11.81,5.02,5.89,5.89,11.44,7.89,82.17
6,Adrian Duszak & Bartlomiej Franczuk,43,74.42,71.74,32,11,66,26,972,714,459,322,440,329,73,63,6,10.67,7.49,7.65,7.65,12.17,10.5,47.35
7,Maja Umicevic & Nikola  Mitro,43,76.74,71.13,33,10,69,28,1035,766,445,347,473,319,117,100,11,10.35,8.07,7.42,7.42,10.64,9.09,49.08
8,Carolyn Greco & Margaret Osmundson,38,78.95,77.5,30,8,62,18,882,526,417,245,424,243,41,38,4,10.97,6.45,6.39,6.39,10.25,9.5,48.05
9,Leonardo Lindoso De Almeida & Vania Moraes Da Cruz,30,86.67,86.89,26,4,53,8,704,389,349,187,348,190,7,12,1,11.63,6.23,6.33,6.33,7.0,12.0,46.05
10,Amelie  Julian & Hugo Rabeux,28,60.71,55.56,17,11,35,28,659,587,298,258,280,265,81,64,7,10.64,9.21,9.46,9.46,11.57,9.14,19.44
11,Matheus  Ferraz & Rodrigo Bento Medeiros,27,70.37,71.93,19,8,41,16,609,404,292,168,288,200,29,36,3,10.81,6.22,7.41,7.41,9.67,12.0,29.49
12,Julien Grondin & Lauryne Scherrer,27,62.96,59.68,17,10,37,25,614,569,252,246,281,242,81,81,8,9.33,9.11,8.96,8.96,10.12,10.12,22.08
13,Apor Gyorgydeak & Tunde Miklos,25,68.0,64.91,17,8,37,20,619,463,273,188,272,212,74,63,7,10.92,7.52,8.48,8.48,10.57,9.0,24.02
14,Alexa Almeida & Stephanie Brito,25,40.0,44.07,10,15,26,33,568,603,230,264,260,241,78,98,9,9.2,10.56,9.64,9.64,8.67,10.89,11.46
15,Balazs Katz & Zalan Szegedi,24,58.33,54.72,14,10,29,24,511,469,216,200,237,221,58,48,5,9.0,8.33,9.21,9.21,11.6,9.6,15.87
16,Anna Izsak & Arpad Sipos,23,34.78,32.0,8,15,16,34,437,549,185,257,203,261,49,31,4,8.04,11.17,11.35,11.35,12.25,7.75,5.12
