,index,TEQ Score,Sets Won,Sets Lost
0,0,126.4,159,41
1,2,121.97,141,22
2,1,110.89,144,43
3,4,103.81,113,10
4,3,94.29,109,17
5,5,82.17,92,11
6,7,49.08,69,28
7,8,48.05,62,18
8,6,47.35,66,26
9,9,46.05,53,8
10,24,37.03,38,1
11,11,29.49,41,16
12,25,29.17,35,7
13,33,29.12,31,2
14,18,28.31,38,13
15,17,25.83,37,16
16,26,24.38,32,10
17,13,24.02,37,20
18,20,23.59,34,15
19,12,22.08,37,25
20,22,21.36,31,14
21,56,21.16,23,2
22,57,20.35,23,3
23,10,19.44,35,28
24,42,19.2,24,6
25,44,19.2,24,6
26,232,19.05,20,1
27,45,18.38,25,9
28,72,18.0,18,0
29,50,16.96,21,5
30,46,16.69,22,7
31,15,15.87,29,24
32,29,15.62,25,15
33,67,15.43,18,3
34,36,15.11,23,12
35,69,14.73,18,4
36,51,14.44,19,6
37,27,14.4,24,16
38,121,14.0,14,0
39,30,13.56,23,16
40,34,13.36,21,12
41,117,13.07,14,1
42,21,12.8,24,21
43,19,12.52,24,22
44,89,12.25,14,2
45,144,12.25,14,2
46,194,12.0,12,0
47,78,11.84,15,4
48,52,11.57,18,10
49,14,11.46,26,33
50,40,11.28,19,13
51,38,11.28,19,13
52,120,11.27,13,2
53,148,11.27,13,2
54,49,11.17,18,11
55,63,11.13,16,7
56,199,11.08,12,1
57,223,11.08,12,1
58,155,11.08,12,1
59,84,10.89,14,4
60,62,10.7,17,10
61,60,10.67,16,8
62,37,10.45,18,13
63,140,10.29,12,2
64,174,10.29,12,2
65,137,10.29,12,2
66,43,10.12,18,14
67,236,10.0,10,0
68,247,10.0,10,0
69,47,9.97,17,12
70,48,9.97,17,12
71,111,9.6,12,3
72,109,9.6,12,3
73,80,9.33,14,7
74,180,9.31,11,2
75,227,9.31,11,2
76,181,9.31,11,2
77,197,9.31,11,2
78,253,9.09,10,1
79,65,8.91,14,8
80,76,8.89,13,6
81,202,8.64,11,3
82,208,8.64,11,3
83,206,8.64,11,3
84,153,8.64,11,3
85,106,8.47,12,5
86,82,8.45,13,7
87,99,8.45,13,7
88,165,8.33,10,2
89,172,8.33,10,2
90,190,8.33,10,2
91,192,8.33,10,2
92,203,8.33,10,2
93,204,8.33,10,2
94,209,8.33,10,2
95,28,8.31,18,21
96,70,8.17,14,10
97,110,8.07,11,4
98,220,8.07,11,4
99,119,8.07,11,4
100,103,8.0,12,6
101,195,7.69,10,3
102,224,7.69,10,3
103,229,7.69,10,3
104,79,7.58,12,7
105,83,7.58,12,7
106,118,7.56,11,5
107,23,7.36,18,26
108,260,7.36,9,2
109,221,7.14,10,4
110,123,7.14,10,4
111,162,7.14,10,4
112,226,7.14,10,4
113,115,7.12,11,6
114,68,6.86,12,9
115,54,6.76,14,15
116,256,6.75,9,3
117,139,6.72,11,7
118,104,6.72,11,7
119,135,6.67,10,5
120,185,6.67,10,5
121,107,6.67,10,5
122,61,6.55,12,10
123,55,6.53,14,16
124,53,6.5,13,13
125,261,6.4,8,2
126,291,6.4,8,2
127,292,6.4,8,2
128,294,6.4,8,2
129,73,6.37,11,8
130,178,6.25,10,6
131,101,6.25,10,6
132,125,6.25,10,6
133,207,6.23,9,4
134,171,6.23,9,4
135,609,6.0,6,0
136,602,6.0,6,0
137,32,5.94,14,19
138,279,5.82,8,3
139,286,5.82,8,3
140,268,5.79,9,5
141,186,5.79,9,5
142,97,5.56,10,8
143,130,5.4,9,6
144,108,5.4,9,6
145,177,5.33,8,4
146,151,5.33,8,4
147,163,5.33,8,4
148,187,5.33,8,4
149,233,5.33,8,4
150,149,5.33,8,4
151,98,5.26,10,9
152,486,5.14,6,1
153,16,5.12,16,34
154,116,5.06,9,7
155,35,4.97,13,21
156,265,4.92,8,5
157,175,4.92,8,5
158,298,4.92,8,5
159,365,4.9,7,3
160,325,4.9,7,3
161,353,4.9,7,3
162,305,4.9,7,3
163,105,4.76,9,8
164,112,4.76,9,8
165,66,4.65,11,15
166,184,4.57,8,6
167,170,4.57,8,6
168,216,4.57,8,6
169,161,4.57,8,6
170,201,4.57,8,6
171,222,4.57,8,6
172,400,4.5,6,2
173,362,4.5,6,2
174,429,4.5,6,2
175,414,4.5,6,2
176,471,4.5,6,2
177,455,4.5,6,2
178,326,4.5,6,2
179,390,4.5,6,2
180,251,4.45,7,4
181,250,4.45,7,4
182,234,4.45,7,4
183,274,4.45,7,4
184,297,4.45,7,4
185,131,4.27,8,7
186,145,4.27,8,7
187,248,4.08,7,5
188,263,4.08,7,5
189,271,4.08,7,5
190,300,4.08,7,5
191,102,4.05,9,11
192,100,4.0,8,8
193,59,4.0,10,15
194,408,4.0,6,3
195,404,4.0,6,3
196,801,4.0,4,0
197,329,4.0,6,3
198,375,4.0,6,3
199,354,4.0,6,3
200,435,4.0,6,3
201,252,3.77,7,6
202,176,3.77,7,6
203,152,3.77,7,6
204,129,3.76,8,9
205,58,3.7,10,17
206,267,3.6,6,4
207,249,3.6,6,4
208,456,3.6,6,4
209,262,3.6,6,4
210,284,3.6,6,4
211,360,3.6,6,4
212,244,3.6,6,4
213,246,3.6,6,4
214,288,3.6,6,4
215,355,3.6,6,4
216,463,3.6,6,4
217,475,3.6,6,4
218,293,3.6,6,4
219,603,3.57,5,2
220,544,3.57,5,2
221,92,3.56,8,10
222,88,3.56,8,10
223,71,3.56,8,10
224,179,3.5,7,7
225,173,3.5,7,7
226,41,3.45,10,19
227,64,3.38,9,15
228,133,3.27,7,8
229,282,3.27,6,5
230,358,3.27,6,5
231,285,3.27,6,5
232,242,3.27,6,5
233,238,3.27,6,5
234,136,3.27,7,8
235,141,3.27,7,8
236,138,3.27,7,8
237,231,3.27,6,5
238,86,3.2,8,12
239,96,3.2,8,12
240,601,3.12,5,3
241,521,3.12,5,3
242,132,3.06,7,9
243,150,3.0,6,6
244,154,3.0,6,6
245,239,3.0,6,6
246,214,3.0,6,6
247,295,3.0,6,6
248,39,2.86,10,25
249,369,2.78,5,4
250,376,2.78,5,4
251,431,2.78,5,4
252,395,2.78,5,4
253,31,2.78,10,26
254,474,2.78,5,4
255,381,2.78,5,4
256,464,2.78,5,4
257,473,2.78,5,4
258,388,2.78,5,4
259,307,2.78,5,4
260,389,2.78,5,4
261,315,2.78,5,4
262,443,2.78,5,4
263,405,2.78,5,4
264,188,2.77,6,7
265,212,2.77,6,7
266,205,2.77,6,7
267,615,2.67,4,2
268,633,2.67,4,2
269,501,2.67,4,2
270,85,2.58,7,12
271,128,2.57,6,8
272,215,2.57,6,8
273,193,2.57,6,8
274,142,2.57,6,8
275,313,2.5,5,5
276,364,2.5,5,5
277,478,2.5,5,5
278,447,2.5,5,5
279,444,2.5,5,5
280,432,2.5,5,5
281,367,2.5,5,5
282,598,2.29,4,3
283,578,2.29,4,3
284,568,2.29,4,3
285,311,2.27,5,6
286,281,2.27,5,6
287,276,2.27,5,6
288,437,2.27,5,6
